Generated by Rfunction:  Gera.mw41.edt.skewT.func2 
============> Radisonde_info:
RS_type:        RS41-SGP
RS_config:      -32768
RS_serialnum:   X1422247
RS_freq:        405
RS__windtype:   ccGPS
=============> Station_info:
Station:        HUBV_RS41SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       52.3
SW version:     MW41 2.15.0
Start time:     2025-06-23 06:45:05
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	Ascend_FLG  (0-N,1-Y)
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
  79.59  -9999.    302.44    55.87     -9.68      7.08        412.2    972.00    292.76    14.78     323.81     12.00 1  -9999.  -9999.   -76.8698    39.0523  -9999.  -9999.  -9999.
  80.59  -9999.    302.42    55.84     -9.59      7.03        417.4    971.56    292.73    14.76     323.74     11.89 1  -9999.  -9999.   -76.8697    39.0522  -9999.  -9999.  -9999.
  81.59  -9999.    302.40    55.76     -9.50      6.98        421.0    971.12    292.69    14.73     323.71     11.79 1  -9999.  -9999.   -76.8696    39.0521  -9999.  -9999.  -9999.
  82.59  -9999.    302.38    55.66     -9.42      6.91        426.1    970.68    292.65    14.70     323.73     11.68 1  -9999.  -9999.   -76.8694    39.0521  -9999.  -9999.  -9999.
  83.59  -9999.    302.37    55.59     -9.34      6.84        429.5    970.22    292.61    14.67     323.79     11.58 1  -9999.  -9999.   -76.8693    39.0520  -9999.  -9999.  -9999.
  84.59  -9999.    302.35    55.65     -9.28      6.76        433.9    969.77    292.61    14.67     323.91     11.48 1  -9999.  -9999.   -76.8692    39.0519  -9999.  -9999.  -9999.
  85.59  -9999.    302.33    55.80     -9.22      6.67        438.3    969.31    292.64    14.71     324.10     11.38 1  -9999.  -9999.   -76.8692    39.0518  -9999.  -9999.  -9999.
  86.59  -9999.    302.31    55.91     -9.17      6.58        442.9    968.85    292.65    14.73     324.34     11.29 1  -9999.  -9999.   -76.8691    39.0518  -9999.  -9999.  -9999.
  87.59  -9999.    302.29    55.91     -9.14      6.48        446.9    968.40    292.63    14.72     324.65     11.21 1  -9999.  -9999.   -76.8690    39.0517  -9999.  -9999.  -9999.
  88.59  -9999.    302.27    55.89     -9.12      6.38        451.3    967.94    292.61    14.70     325.01     11.13 1  -9999.  -9999.   -76.8690    39.0516  -9999.  -9999.  -9999.
  89.59  -9999.    302.25    55.95     -9.11      6.27        454.6    967.49    292.61    14.71     325.45     11.06 1  -9999.  -9999.   -76.8689    39.0515  -9999.  -9999.  -9999.
