Generated by Rfunction:  Gera.mw41.edt.skewT.func2 
============> Radisonde_info:
RS_type:        RS41-SGP
RS_config:      -32768
RS_serialnum:   X1422247
RS_freq:        405
RS__windtype:   ccGPS
=============> Station_info:
Station:        HUBV_RS41SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       52.3
SW version:     MW41 2.15.0
Start time:     2025-06-23 06:45:05
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	Ascend_FLG  (0-N,1-Y)
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
6830.59  -9999.    229.14     0.79     -3.69    -13.80      29885.3     12.60    192.06     0.05      75.05     14.29 1  -9999.  -9999.   -77.1333    38.6315  -9999.  -9999.  -9999.
6831.59  -9999.    229.17     0.79     -3.71    -13.91      29894.1     12.59    192.07     0.05      75.06     14.40 1  -9999.  -9999.   -77.1334    38.6315  -9999.  -9999.  -9999.
6832.59  -9999.    229.18     0.79     -3.74    -14.04      29898.6     12.58    192.07     0.05      75.09     14.53 1  -9999.  -9999.   -77.1336    38.6314  -9999.  -9999.  -9999.
6833.59  -9999.    229.20     0.79     -3.76    -14.18      29892.8     12.57    192.08     0.05      75.13     14.67 1  -9999.  -9999.   -77.1337    38.6314  -9999.  -9999.  -9999.
6834.59  -9999.    229.20     0.79     -3.79    -14.33      29901.3     12.56    192.08     0.05      75.19     14.82 1  -9999.  -9999.   -77.1339    38.6313  -9999.  -9999.  -9999.
6835.59  -9999.    229.19     0.79     -3.81    -14.48      29912.2     12.55    192.07     0.05      75.27     14.97 1  -9999.  -9999.   -77.1341    38.6313  -9999.  -9999.  -9999.
6836.59  -9999.    229.19     0.79     -3.82    -14.62      29909.2     12.54    192.06     0.05      75.34     15.11 1  -9999.  -9999.   -77.1342    38.6312  -9999.  -9999.  -9999.
6837.59  -9999.    229.21     0.79     -3.84    -14.75      29915.5     12.54    192.07     0.05      75.42     15.24 1  -9999.  -9999.   -77.1344    38.6313  -9999.  -9999.  -9999.
6838.59  -9999.    229.23     0.79     -3.85    -14.87      29921.7     12.53    192.09     0.05      75.49     15.36 1  -9999.  -9999.   -77.1346    38.6313  -9999.  -9999.  -9999.
6839.59  -9999.    229.24     0.79     -3.86    -14.99      29928.0     12.52    192.09     0.05      75.57     15.47 1  -9999.  -9999.   -77.1348    38.6313  -9999.  -9999.  -9999.
6840.59  -9999.    229.26     0.79     -3.87    -15.11      29934.3     12.51    192.10     0.05      75.66     15.60 1  -9999.  -9999.   -77.1350    38.6313  -9999.  -9999.  -9999.
6841.59  -9999.    229.26     0.79     -3.88    -15.25      29933.7     12.50    192.10     0.05      75.74     15.74 1  -9999.  -9999.   -77.1351    38.6312  -9999.  -9999.  -9999.
6842.59  -9999.    229.27     0.79     -3.89    -15.40      29944.6     12.49    192.11     0.05      75.83     15.88 1  -9999.  -9999.   -77.1353    38.6312  -9999.  -9999.  -9999.
6843.59  -9999.    229.28     0.79     -3.90    -15.54      29949.1     12.48    192.11     0.05      75.92     16.02 1  -9999.  -9999.   -77.1355    38.6311  -9999.  -9999.  -9999.
6844.59  -9999.    229.27     0.79     -3.91    -15.68      29943.6     12.48    192.11     0.05      76.00     16.16 1  -9999.  -9999.   -77.1356    38.6310  -9999.  -9999.  -9999.
6845.59  -9999.    229.28     0.79     -3.91    -15.81      29946.2     12.47    192.11     0.05      76.09     16.29 1  -9999.  -9999.   -77.1358    38.6310  -9999.  -9999.  -9999.
6846.59  -9999.    229.28     0.79     -3.92    -15.93      29964.6     12.46    192.11     0.05      76.18     16.40 1  -9999.  -9999.   -77.1360    38.6310  -9999.  -9999.  -9999.
6847.59  -9999.    229.28     0.79     -3.92    -16.04      29959.9     12.45    192.11     0.05      76.26     16.51 1  -9999.  -9999.   -77.1362    38.6310  -9999.  -9999.  -9999.
6848.59  -9999.    229.27     0.79     -3.92    -16.14      29975.0     12.44    192.11     0.05      76.33     16.61 1  -9999.  -9999.   -77.1364    38.6310  -9999.  -9999.  -9999.
6849.59  -9999.    229.26     0.79     -3.93    -16.23      29978.3     12.43    192.10     0.05      76.40     16.70 1  -9999.  -9999.   -77.1366    38.6310  -9999.  -9999.  -9999.
6850.59  -9999.    229.25     0.79     -3.93    -16.31      29981.8     12.42    192.09     0.05      76.46     16.78 1  -9999.  -9999.   -77.1368    38.6310  -9999.  -9999.  -9999.
6851.59  -9999.    229.25     0.79     -3.93    -16.38      29976.6     12.41    192.09     0.05      76.52     16.85 1  -9999.  -9999.   -77.1370    38.6310  -9999.  -9999.  -9999.
6852.59  -9999.    229.26     0.79     -3.92    -16.44      29977.7     12.40    192.10     0.05      76.58     16.90 1  -9999.  -9999.   -77.1372    38.6309  -9999.  -9999.  -9999.
6853.59  -9999.    229.27     0.79     -3.92    -16.49      30006.3     12.39    192.11     0.05      76.64     16.95 1  -9999.  -9999.   -77.1374    38.6308  -9999.  -9999.  -9999.
6854.59  -9999.    229.29     0.79     -3.91    -16.53      30006.0     12.38    192.12     0.05      76.70     16.99 1  -9999.  -9999.   -77.1376    38.6307  -9999.  -9999.  -9999.
6855.59  -9999.    229.30     0.79     -3.89    -16.57      30010.4     12.37    192.13     0.05      76.78     17.02 1  -9999.  -9999.   -77.1378    38.6307  -9999.  -9999.  -9999.
6856.59  -9999.    229.31     0.79     -3.87    -16.59      30016.0     12.36    192.13     0.05      76.87     17.04 1  -9999.  -9999.   -77.1380    38.6306  -9999.  -9999.  -9999.
6857.59  -9999.    229.32     0.79     -3.85    -16.61      30011.9     12.35    192.14     0.05      76.96     17.05 1  -9999.  -9999.   -77.1382    38.6306  -9999.  -9999.  -9999.
6858.59  -9999.    229.32     0.79     -3.82    -16.62      30016.8     12.34    192.14     0.05      77.04     17.06 1  -9999.  -9999.   -77.1384    38.6306  -9999.  -9999.  -9999.
6859.59  -9999.    229.32     0.79     -3.80    -16.63      30023.6     12.33    192.14     0.05      77.12     17.06 1  -9999.  -9999.   -77.1387    38.6306  -9999.  -9999.  -9999.
6860.59  -9999.    229.32     0.79     -3.78    -16.63      30030.4     12.32    192.14     0.05      77.19     17.06 1  -9999.  -9999.   -77.1389    38.6307  -9999.  -9999.  -9999.
6861.59  -9999.    229.33     0.79     -3.76    -16.63      30037.2     12.32    192.14     0.05      77.28     17.05 1  -9999.  -9999.   -77.1390    38.6307  -9999.  -9999.  -9999.
6862.59  -9999.    229.33     0.78     -3.72    -16.63      30045.1     12.31    192.14     0.05      77.38     17.05 1  -9999.  -9999.   -77.1392    38.6306  -9999.  -9999.  -9999.
6863.59  -9999.    229.33     0.78     -3.69    -16.64      30044.3     12.30    192.14     0.05      77.50     17.04 1  -9999.  -9999.   -77.1394    38.6306  -9999.  -9999.  -9999.
6864.59  -9999.    229.32     0.78     -3.65    -16.64      30051.3     12.29    192.13     0.05      77.63     17.03 1  -9999.  -9999.   -77.1396    38.6305  -9999.  -9999.  -9999.
6865.59  -9999.    229.32     0.78     -3.61    -16.64      30057.4     12.28    192.13     0.05      77.77     17.03 1  -9999.  -9999.   -77.1397    38.6304  -9999.  -9999.  -9999.
6866.59  -9999.    229.34     0.78     -3.57    -16.65      30060.2     12.27    192.14     0.05      77.91     17.03 1  -9999.  -9999.   -77.1399    38.6303  -9999.  -9999.  -9999.
6867.59  -9999.    229.36     0.78     -3.53    -16.65      30065.7     12.26    192.16     0.05      78.05     17.02 1  -9999.  -9999.   -77.1401    38.6303  -9999.  -9999.  -9999.
6868.59  -9999.    229.38     0.78     -3.49    -16.66      30071.1     12.25    192.17     0.05      78.18     17.02 1  -9999.  -9999.   -77.1403    38.6303  -9999.  -9999.  -9999.
6869.59  -9999.    229.40     0.78     -3.45    -16.67      30076.5     12.24    192.18     0.05      78.30     17.03 1  -9999.  -9999.   -77.1405    38.6303  -9999.  -9999.  -9999.
6870.59  -9999.    229.41     0.78     -3.42    -16.69      30082.0     12.23    192.19     0.05      78.42     17.03 1  -9999.  -9999.   -77.1406    38.6303  -9999.  -9999.  -9999.
6871.59  -9999.    229.42     0.78     -3.39    -16.70      30087.4     12.22    192.19     0.05      78.54     17.04 1  -9999.  -9999.   -77.1408    38.6303  -9999.  -9999.  -9999.
6872.59  -9999.    229.42     0.78     -3.36    -16.72      30090.3     12.21    192.18     0.05      78.65     17.06 1  -9999.  -9999.   -77.1410    38.6303  -9999.  -9999.  -9999.
6873.59  -9999.    229.42     0.78     -3.33    -16.74      30096.7     12.20    192.18     0.05      78.75     17.07 1  -9999.  -9999.   -77.1412    38.6302  -9999.  -9999.  -9999.
6874.59  -9999.    229.42     0.78     -3.31    -16.77      30103.1     12.19    192.18     0.05      78.85     17.09 1  -9999.  -9999.   -77.1414    38.6302  -9999.  -9999.  -9999.
6875.59  -9999.    229.43     0.78     -3.29    -16.80      30109.5     12.18    192.18     0.05      78.93     17.12 1  -9999.  -9999.   -77.1415    38.6301  -9999.  -9999.  -9999.
6876.59  -9999.    229.44     0.78     -3.27    -16.83      30115.9     12.17    192.18     0.05      79.01     17.15 1  -9999.  -9999.   -77.1417    38.6300  -9999.  -9999.  -9999.
6877.59  -9999.    229.45     0.78     -3.26    -16.87      30122.3     12.17    192.19     0.05      79.07     17.18 1  -9999.  -9999.   -77.1419    38.6300  -9999.  -9999.  -9999.
6878.59  -9999.    229.46     0.78     -3.25    -16.91      30128.7     12.16    192.19     0.05      79.13     17.21 1  -9999.  -9999.   -77.1421    38.6299  -9999.  -9999.  -9999.
6879.59  -9999.    229.50     0.78     -3.24    -16.95      30121.7     12.15    192.21     0.05      79.18     17.25 1  -9999.  -9999.   -77.1423    38.6299  -9999.  -9999.  -9999.
6880.59  -9999.    229.54     0.78     -3.23    -16.99      30126.7     12.14    192.24     0.05      79.22     17.29 1  -9999.  -9999.   -77.1425    38.6300  -9999.  -9999.  -9999.
6881.59  -9999.    229.58     0.78     -3.24    -17.03      30135.8     12.13    192.25     0.05      79.24     17.33 1  -9999.  -9999.   -77.1427    38.6300  -9999.  -9999.  -9999.
6882.59  -9999.    229.59     0.78     -3.24    -17.07      30144.3     12.12    192.25     0.05      79.25     17.38 1  -9999.  -9999.   -77.1429    38.6300  -9999.  -9999.  -9999.
6883.59  -9999.    229.59     0.78     -3.25    -17.11      30151.1     12.12    192.25     0.05      79.24     17.42 1  -9999.  -9999.   -77.1431    38.6300  -9999.  -9999.  -9999.
6884.59  -9999.    229.57     0.78     -3.27    -17.14      30147.2     12.11    192.23     0.05      79.21     17.45 1  -9999.  -9999.   -77.1433    38.6299  -9999.  -9999.  -9999.
6885.59  -9999.    229.56     0.77     -3.28    -17.18      30152.2     12.10    192.21     0.05      79.18     17.49 1  -9999.  -9999.   -77.1435    38.6298  -9999.  -9999.  -9999.
6886.59  -9999.    229.55     0.77     -3.30    -17.20      30165.6     12.09    192.20     0.05      79.13     17.52 1  -9999.  -9999.   -77.1437    38.6298  -9999.  -9999.  -9999.
6887.59  -9999.    229.53     0.77     -3.32    -17.22      30168.2     12.08    192.18     0.05      79.09     17.54 1  -9999.  -9999.   -77.1439    38.6297  -9999.  -9999.  -9999.
6888.59  -9999.    229.51     0.77     -3.34    -17.23      30159.7     12.08    192.15     0.05      79.04     17.55 1  -9999.  -9999.   -77.1441    38.6297  -9999.  -9999.  -9999.
6889.59  -9999.    229.48     0.77     -3.35    -17.24      30169.3     12.07    192.12     0.05      78.99     17.56 1  -9999.  -9999.   -77.1443    38.6297  -9999.  -9999.  -9999.
6890.59  -9999.    229.46     0.77     -3.36    -17.23      30173.2     12.06    192.10     0.05      78.95     17.56 1  -9999.  -9999.   -77.1445    38.6297  -9999.  -9999.  -9999.
6891.59  -9999.    229.44     0.77     -3.37    -17.22      30180.3     12.05    192.08     0.05      78.91     17.55 1  -9999.  -9999.   -77.1447    38.6297  -9999.  -9999.  -9999.
6892.59  -9999.    229.43     0.77     -3.38    -17.21      30187.4     12.04    192.06     0.05      78.88     17.54 1  -9999.  -9999.   -77.1449    38.6297  -9999.  -9999.  -9999.
6893.59  -9999.    229.41     0.76     -3.38    -17.18      30194.5     12.03    192.03     0.05      78.86     17.51 1  -9999.  -9999.   -77.1451    38.6297  -9999.  -9999.  -9999.
6894.59  -9999.    229.39     0.76     -3.38    -17.15      30201.6     12.02    192.01     0.05      78.84     17.48 1  -9999.  -9999.   -77.1453    38.6297  -9999.  -9999.  -9999.
6895.59  -9999.    229.39     0.76     -3.38    -17.11      30208.7     12.01    191.99     0.05      78.83     17.44 1  -9999.  -9999.   -77.1455    38.6296  -9999.  -9999.  -9999.
6896.59  -9999.    229.40     0.76     -3.37    -17.07      30221.3     12.00    191.99     0.05      78.84     17.39 1  -9999.  -9999.   -77.1457    38.6296  -9999.  -9999.  -9999.
6897.59  -9999.    229.44     0.76     -3.35    -17.01      30219.9     11.99    192.00     0.05      78.86     17.34 1  -9999.  -9999.   -77.1459    38.6295  -9999.  -9999.  -9999.
6898.59  -9999.    229.50     0.76     -3.33    -16.95      30215.9     11.98    192.02     0.05      78.90     17.27 1  -9999.  -9999.   -77.1461    38.6294  -9999.  -9999.  -9999.
6899.59  -9999.    229.58     0.75     -3.29    -16.88      30223.7     11.97    192.05     0.05      78.96     17.20 1  -9999.  -9999.   -77.1464    38.6294  -9999.  -9999.  -9999.
6900.59  -9999.    229.65     0.75     -3.25    -16.80      30229.8     11.96    192.08     0.05      79.05     17.11 1  -9999.  -9999.   -77.1465    38.6294  -9999.  -9999.  -9999.
6901.59  -9999.    229.72     0.75     -3.20    -16.72      30236.0     11.96    192.11     0.05      79.15     17.02 1  -9999.  -9999.   -77.1467    38.6294  -9999.  -9999.  -9999.
6902.59  -9999.    229.77     0.75     -3.15    -16.63      30235.0     11.95    192.12     0.05      79.27     16.92 1  -9999.  -9999.   -77.1469    38.6294  -9999.  -9999.  -9999.
6903.59  -9999.    229.84     0.74     -3.09    -16.53      30241.3     11.94    192.15     0.05      79.41     16.82 1  -9999.  -9999.   -77.1471    38.6294  -9999.  -9999.  -9999.
6904.59  -9999.    229.91     0.74     -3.03    -16.44      30260.9     11.92    192.18     0.05      79.57     16.71 1  -9999.  -9999.   -77.1472    38.6294  -9999.  -9999.  -9999.
6905.59  -9999.    229.97     0.74     -2.96    -16.34      30253.5     11.91    192.19     0.05      79.74     16.61 1  -9999.  -9999.   -77.1474    38.6294  -9999.  -9999.  -9999.
6906.59  -9999.    230.02     0.74     -2.89    -16.24      30263.8     11.90    192.20     0.05      79.93     16.50 1  -9999.  -9999.   -77.1476    38.6293  -9999.  -9999.  -9999.
6907.59  -9999.    230.07     0.73     -2.81    -16.14      30284.6     11.90    192.21     0.05      80.13     16.39 1  -9999.  -9999.   -77.1478    38.6292  -9999.  -9999.  -9999.
6908.59  -9999.    230.12     0.73     -2.73    -16.04      30276.1     11.89    192.22     0.05      80.34     16.27 1  -9999.  -9999.   -77.1480    38.6292  -9999.  -9999.  -9999.
6909.59  -9999.    230.18     0.73     -2.65    -15.94      30273.6     11.88    192.23     0.05      80.56     16.16 1  -9999.  -9999.   -77.1482    38.6291  -9999.  -9999.  -9999.
6910.59  -9999.    230.23     0.72     -2.57    -15.85      30272.7     11.87    192.24     0.05      80.79     16.05 1  -9999.  -9999.   -77.1484    38.6291  -9999.  -9999.  -9999.
6911.59  -9999.    230.27     0.72     -2.49    -15.75      30295.9     11.86    192.24     0.05      81.02     15.94 1  -9999.  -9999.   -77.1485    38.6291  -9999.  -9999.  -9999.
6912.59  -9999.    230.32     0.72     -2.41    -15.65      30290.5     11.85    192.25     0.05      81.26     15.84 1  -9999.  -9999.   -77.1487    38.6291  -9999.  -9999.  -9999.
6913.59  -9999.    230.40     0.71     -2.33    -15.56      30301.0     11.84    192.27     0.05      81.50     15.73 1  -9999.  -9999.   -77.1489    38.6292  -9999.  -9999.  -9999.
6914.59  -9999.    230.49     0.71     -2.25    -15.47      30304.9     11.83    192.31     0.05      81.73     15.63 1  -9999.  -9999.   -77.1490    38.6292  -9999.  -9999.  -9999.
6915.59  -9999.    230.56     0.71     -2.17    -15.38      30315.3     11.83    192.33     0.05      81.96     15.53 1  -9999.  -9999.   -77.1492    38.6292  -9999.  -9999.  -9999.
6916.59  -9999.    230.61     0.71     -2.10    -15.30      30320.6     11.82    192.34     0.05      82.18     15.44 1  -9999.  -9999.   -77.1494    38.6291  -9999.  -9999.  -9999.
6917.59  -9999.    230.65     0.70     -2.04    -15.22      30317.1     11.81    192.35     0.05      82.38     15.36 1  -9999.  -9999.   -77.1496    38.6291  -9999.  -9999.  -9999.
6918.59  -9999.    230.69     0.70     -1.97    -15.15      30309.8     11.80    192.35     0.05      82.58     15.28 1  -9999.  -9999.   -77.1498    38.6290  -9999.  -9999.  -9999.
6919.59  -9999.    230.75     0.70     -1.92    -15.08      30316.0     11.80    192.37     0.05      82.76     15.20 1  -9999.  -9999.   -77.1499    38.6290  -9999.  -9999.  -9999.
6920.59  -9999.    230.86     0.70     -1.87    -15.02      30333.4     11.79    192.42     0.05      82.92     15.13 1  -9999.  -9999.   -77.1501    38.6289  -9999.  -9999.  -9999.
6921.59  -9999.    230.97     0.69     -1.82    -14.96      30339.6     11.78    192.48     0.05      83.06     15.07 1  -9999.  -9999.   -77.1503    38.6289  -9999.  -9999.  -9999.
6922.59  -9999.    231.03     0.69     -1.78    -14.91      30340.1     11.77    192.51     0.05      83.18     15.02 1  -9999.  -9999.   -77.1504    38.6289  -9999.  -9999.  -9999.
6923.59  -9999.    231.05     0.69     -1.75    -14.87      30342.6     11.76    192.51     0.06      83.28     14.97 1  -9999.  -9999.   -77.1506    38.6290  -9999.  -9999.  -9999.
6924.59  -9999.    231.08     0.69     -1.73    -14.84      30352.7     11.75    192.52     0.06      83.36     14.94 1  -9999.  -9999.   -77.1507    38.6290  -9999.  -9999.  -9999.
6925.59  -9999.    231.12     0.69     -1.71    -14.81      30362.9     11.74    192.54     0.06      83.42     14.91 1  -9999.  -9999.   -77.1509    38.6291  -9999.  -9999.  -9999.
6926.59  -9999.    231.15     0.69     -1.70    -14.79      30373.2     11.72    192.56     0.06      83.46     14.89 1  -9999.  -9999.   -77.1510    38.6291  -9999.  -9999.  -9999.
6927.59  -9999.    231.15     0.69     -1.69    -14.77      30372.6     11.71    192.56     0.06      83.49     14.87 1  -9999.  -9999.   -77.1512    38.6290  -9999.  -9999.  -9999.
6928.59  -9999.    231.16     0.69     -1.68    -14.76      30382.2     11.71    192.56     0.06      83.50     14.85 1  -9999.  -9999.   -77.1514    38.6290  -9999.  -9999.  -9999.
6929.59  -9999.    231.17     0.69     -1.68    -14.75      30381.6     11.70    192.57     0.06      83.49     14.84 1  -9999.  -9999.   -77.1516    38.6289  -9999.  -9999.  -9999.
6930.59  -9999.    231.18     0.69     -1.69    -14.74      30387.4     11.69    192.58     0.06      83.45     14.84 1  -9999.  -9999.   -77.1518    38.6289  -9999.  -9999.  -9999.
6931.59  -9999.    231.21     0.69     -1.71    -14.75      30395.7     11.68    192.61     0.06      83.38     14.85 1  -9999.  -9999.   -77.1520    38.6289  -9999.  -9999.  -9999.
6932.59  -9999.    231.26     0.69     -1.74    -14.76      30393.0     11.67    192.65     0.06      83.28     14.86 1  -9999.  -9999.   -77.1521    38.6289  -9999.  -9999.  -9999.
6933.59  -9999.    231.30     0.69     -1.77    -14.78      30404.9     11.66    192.68     0.06      83.16     14.89 1  -9999.  -9999.   -77.1522    38.6289  -9999.  -9999.  -9999.
6934.59  -9999.    231.31     0.69     -1.81    -14.80      30411.1     11.65    192.70     0.06      83.02     14.91 1  -9999.  -9999.   -77.1524    38.6289  -9999.  -9999.  -9999.
6935.59  -9999.    231.35     0.69     -1.86    -14.83      30409.3     11.64    192.74     0.06      82.86     14.95 1  -9999.  -9999.   -77.1525    38.6290  -9999.  -9999.  -9999.
6936.59  -9999.    231.41     0.70     -1.91    -14.87      30419.7     11.63    192.79     0.06      82.68     14.99 1  -9999.  -9999.   -77.1526    38.6290  -9999.  -9999.  -9999.
6937.59  -9999.    231.44     0.70     -1.96    -14.91      30429.1     11.63    192.82     0.06      82.50     15.04 1  -9999.  -9999.   -77.1528    38.6290  -9999.  -9999.  -9999.
6938.59  -9999.    231.45     0.70     -2.02    -14.96      30428.0     11.62    192.84     0.06      82.30     15.09 1  -9999.  -9999.   -77.1530    38.6289  -9999.  -9999.  -9999.
6939.59  -9999.    231.43     0.70     -2.09    -15.01      30436.5     11.61    192.84     0.06      82.09     15.15 1  -9999.  -9999.   -77.1532    38.6289  -9999.  -9999.  -9999.
6940.59  -9999.    231.42     0.70     -2.15    -15.06      30438.8     11.60    192.84     0.06      81.86     15.22 1  -9999.  -9999.   -77.1534    38.6288  -9999.  -9999.  -9999.
6941.59  -9999.    231.40     0.70     -2.23    -15.12      30430.7     11.59    192.84     0.06      81.63     15.29 1  -9999.  -9999.   -77.1536    38.6288  -9999.  -9999.  -9999.
6942.59  -9999.    231.35     0.70     -2.30    -15.19      30460.1     11.58    192.81     0.06      81.38     15.36 1  -9999.  -9999.   -77.1537    38.6288  -9999.  -9999.  -9999.
6943.59  -9999.    231.29     0.70     -2.38    -15.25      30454.8     11.57    192.78     0.06      81.14     15.44 1  -9999.  -9999.   -77.1539    38.6288  -9999.  -9999.  -9999.
6944.59  -9999.    231.20     0.71     -2.45    -15.31      30462.9     11.56    192.74     0.06      80.91     15.51 1  -9999.  -9999.   -77.1541    38.6288  -9999.  -9999.  -9999.
6945.59  -9999.    231.20     0.71     -2.52    -15.37      30468.0     11.55    192.74     0.06      80.69     15.58 1  -9999.  -9999.   -77.1542    38.6288  -9999.  -9999.  -9999.
6946.59  -9999.    231.20     0.71     -2.58    -15.43      30473.1     11.54    192.75     0.06      80.50     15.65 1  -9999.  -9999.   -77.1544    38.6288  -9999.  -9999.  -9999.
6947.59  -9999.    231.19     0.71     -2.64    -15.49      30478.1     11.54    192.75     0.06      80.31     15.72 1  -9999.  -9999.   -77.1545    38.6288  -9999.  -9999.  -9999.
6948.59  -9999.    231.17     0.71     -2.71    -15.55      30483.2     11.53    192.75     0.06      80.13     15.79 1  -9999.  -9999.   -77.1547    38.6288  -9999.  -9999.  -9999.
6949.59  -9999.    231.16     0.71     -2.77    -15.62      30488.3     11.52    192.75     0.06      79.95     15.86 1  -9999.  -9999.   -77.1549    38.6287  -9999.  -9999.  -9999.
6950.59  -9999.    231.18     0.71     -2.83    -15.69      30486.8     11.51    192.76     0.06      79.77     15.95 1  -9999.  -9999.   -77.1551    38.6286  -9999.  -9999.  -9999.
6951.59  -9999.    231.20     0.71     -2.90    -15.77      30487.7     11.51    192.78     0.06      79.59     16.04 1  -9999.  -9999.   -77.1553    38.6286  -9999.  -9999.  -9999.
6952.59  -9999.    231.23     0.71     -2.96    -15.85      30495.9     11.50    192.80     0.06      79.41     16.13 1  -9999.  -9999.   -77.1555    38.6285  -9999.  -9999.  -9999.
6953.59  -9999.    231.25     0.71     -3.03    -15.93      30503.3     11.49    192.82     0.06      79.25     16.22 1  -9999.  -9999.   -77.1557    38.6285  -9999.  -9999.  -9999.
6954.59  -9999.    231.25     0.71     -3.09    -16.02      30509.6     11.48    192.82     0.06      79.09     16.31 1  -9999.  -9999.   -77.1559    38.6285  -9999.  -9999.  -9999.
6955.59  -9999.    231.23     0.71     -3.15    -16.10      30510.7     11.47    192.81     0.06      78.95     16.41 1  -9999.  -9999.   -77.1560    38.6285  -9999.  -9999.  -9999.
6956.59  -9999.    231.19     0.71     -3.20    -16.19      30518.2     11.46    192.79     0.06      78.81     16.51 1  -9999.  -9999.   -77.1562    38.6286  -9999.  -9999.  -9999.
6957.59  -9999.    231.20     0.71     -3.26    -16.28      30536.0     11.45    192.79     0.06      78.69     16.60 1  -9999.  -9999.   -77.1563    38.6286  -9999.  -9999.  -9999.
6958.59  -9999.    231.24     0.71     -3.31    -16.37      30534.7     11.44    192.82     0.06      78.57     16.71 1  -9999.  -9999.   -77.1565    38.6285  -9999.  -9999.  -9999.
6959.59  -9999.    231.28     0.71     -3.36    -16.47      30551.3     11.43    192.85     0.06      78.47     16.81 1  -9999.  -9999.   -77.1567    38.6285  -9999.  -9999.  -9999.
6960.59  -9999.    231.29     0.71     -3.40    -16.56      30551.5     11.42    192.85     0.06      78.39     16.91 1  -9999.  -9999.   -77.1569    38.6284  -9999.  -9999.  -9999.
6961.59  -9999.    231.30     0.71     -3.44    -16.66      30532.8     11.42    192.86     0.06      78.32     17.01 1  -9999.  -9999.   -77.1571    38.6283  -9999.  -9999.  -9999.
6962.59  -9999.    231.31     0.71     -3.48    -16.76      30552.3     11.41    192.87     0.06      78.26     17.12 1  -9999.  -9999.   -77.1573    38.6282  -9999.  -9999.  -9999.
6963.59  -9999.    231.34     0.71     -3.52    -16.87      30555.2     11.40    192.89     0.06      78.22     17.23 1  -9999.  -9999.   -77.1575    38.6282  -9999.  -9999.  -9999.
6964.59  -9999.    231.36     0.71     -3.55    -16.97      30555.0     11.40    192.90     0.06      78.18     17.34 1  -9999.  -9999.   -77.1577    38.6281  -9999.  -9999.  -9999.
6965.59  -9999.    231.39     0.71     -3.59    -17.08      30572.3     11.39    192.92     0.06      78.14     17.45 1  -9999.  -9999.   -77.1579    38.6281  -9999.  -9999.  -9999.
6966.59  -9999.    231.41     0.71     -3.62    -17.19      30566.7     11.38    192.93     0.06      78.10     17.56 1  -9999.  -9999.   -77.1581    38.6282  -9999.  -9999.  -9999.
6967.59  -9999.    231.42     0.71     -3.65    -17.30      30572.1     11.37    192.93     0.06      78.07     17.68 1  -9999.  -9999.   -77.1582    38.6282  -9999.  -9999.  -9999.
6968.59  -9999.    231.43     0.71     -3.69    -17.41      30572.2     11.36    192.94     0.06      78.04     17.79 1  -9999.  -9999.   -77.1584    38.6282  -9999.  -9999.  -9999.
6969.59  -9999.    231.45     0.71     -3.72    -17.51      30579.7     11.35    192.95     0.06      78.02     17.90 1  -9999.  -9999.   -77.1586    38.6282  -9999.  -9999.  -9999.
6970.59  -9999.    231.47     0.71     -3.74    -17.62      30585.7     11.34    192.97     0.06      78.01     18.01 1  -9999.  -9999.   -77.1588    38.6281  -9999.  -9999.  -9999.
6971.59  -9999.    231.51     0.71     -3.76    -17.73      30602.7     11.33    192.99     0.06      78.02     18.12 1  -9999.  -9999.   -77.1590    38.6281  -9999.  -9999.  -9999.
6972.59  -9999.    231.53     0.71     -3.78    -17.83      30613.5     11.32    193.00     0.06      78.04     18.23 1  -9999.  -9999.   -77.1593    38.6280  -9999.  -9999.  -9999.
6973.59  -9999.    231.52     0.71     -3.79    -17.93      30602.6     11.31    192.99     0.06      78.07     18.33 1  -9999.  -9999.   -77.1595    38.6279  -9999.  -9999.  -9999.
6974.59  -9999.    231.50     0.71     -3.80    -18.03      30608.6     11.30    192.98     0.06      78.10     18.43 1  -9999.  -9999.   -77.1597    38.6279  -9999.  -9999.  -9999.
6975.59  -9999.    231.48     0.71     -3.81    -18.12      30619.5     11.29    192.97     0.06      78.14     18.52 1  -9999.  -9999.   -77.1599    38.6278  -9999.  -9999.  -9999.
6976.59  -9999.    231.47     0.71     -3.81    -18.20      30626.1     11.28    192.96     0.06      78.17     18.60 1  -9999.  -9999.   -77.1601    38.6278  -9999.  -9999.  -9999.
6977.59  -9999.    231.46     0.71     -3.82    -18.28      30632.6     11.27    192.95     0.06      78.21     18.67 1  -9999.  -9999.   -77.1603    38.6278  -9999.  -9999.  -9999.
